symbol,market_type,side,timeframe,regime_ok,mtf_ok,adx_min_cfg,atr_min_pct_cfg,bb_bw_min_pct_cfg,chop_max_cfg,don_len_cfg,breakout_buffer_pct_cfg,volume_mult_cfg,rsi_long_cfg,rsi_short_cfg,mtf_confirm_cfg,adx,atr_pct,bb_bw_pct,chop,rsi,rvol,don_ok,rsi_ok,pchg,pchg_ok,signal_now,ts
GMX/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,49.54797727466693,0.15226438599572514,0.6008469811438057,52.27066550707637,58.49056217515203,0.6155391861841251,False,True,-0.001336976108818222,False,False,2025-08-11T11:02:59.482700+00:00
LQTY/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,60.00579072513716,0.17808039281147706,0.8046060231961588,47.53686361454182,33.33329951694252,1.0329180004054508,False,False,-0.005235602094240899,False,False,2025-08-11T11:02:59.732810+00:00
SSV/USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,52.07759315185549,0.19969801946061266,0.7229971287293958,41.62896638657968,37.499996718750566,0.3073169937461612,False,False,-0.0037453183520598232,False,False,2025-08-11T11:02:59.991321+00:00
SAHARA/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,59.68601485192584,0.1766849360581783,0.8528885169600936,50.084392830337194,56.34858025387064,2.090816025107016,False,True,0.0008211866146581315,False,False,2025-08-11T11:03:00.249438+00:00
SSV/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,54.71179088063204,0.25139505715519683,0.7485591224569862,45.837231797345055,35.35911328714026,0.24953736942669247,False,False,-0.004029235382308927,False,False,2025-08-11T11:03:00.505516+00:00
ZKJ/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,47.37193124805113,0.4890444607306093,0.7821216659305226,73.07983158616815,38.15782444611262,0.2592779273568095,False,False,-0.004601226993865004,False,False,2025-08-11T11:03:00.758290+00:00
ATM/USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,38.554074688368054,0.20036984007926187,0.9396395549857084,43.523977154760885,57.69227662723561,0.2476133592150762,False,True,0.0,False,False,2025-08-11T11:03:00.898765+00:00
ACM/USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,49.74005325660321,0.27301430939967264,0.7407397891149509,52.52990700743845,58.82348096889841,0.07901020186663879,False,True,0.0,False,False,2025-08-11T11:03:01.048909+00:00
B/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,52.49342866181882,0.17236711751181402,0.3059154361806248,71.06428265989979,45.1784584824245,0.6604376690434669,False,False,-0.002040026207636103,False,False,2025-08-11T11:03:01.301734+00:00
ASR/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,52.779262228626216,0.15997109641046003,0.723741628818667,34.50323139808074,69.04760753968455,0.37175880161176206,False,True,0.0024937655860348684,False,False,2025-08-11T11:03:01.559431+00:00
ASR/USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,57.26719790793371,0.15905148835786148,0.7530108096171501,31.10885628958678,72.83949358329775,0.2761072734655098,False,True,0.002908184461985819,False,False,2025-08-11T11:03:01.814381+00:00
RPL/USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,68.48510796892148,0.08693064453574617,0.9136391443048966,34.72037994747621,22.22221876543219,0.6423183802994472,False,False,-0.004576659038901698,False,False,2025-08-11T11:03:02.065830+00:00
RPL/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,58.43171909416034,0.1561126434430321,0.9072113922672249,49.67951719614426,28.571425563910665,1.1975048959147059,False,False,-0.004923852055422118,False,False,2025-08-11T11:03:02.314546+00:00
ETHFI/USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,66.01085786560104,0.1563918833574415,1.0863391510692122,24.980345121201943,24.99998250001252,10.233922765837724,False,False,-0.005604483586869602,False,False,2025-08-11T11:03:02.565359+00:00
ETHFI/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,65.55852602593433,0.19780939379576584,1.049502223768352,30.728025765721135,21.31145910598697,6.12960858923626,False,False,-0.005048886039429323,False,False,2025-08-11T11:03:02.833630+00:00
CYBER/USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,46.81711230550632,0.10573783025574642,0.31346100416749023,53.69591648822719,47.61901587303679,0.9227935533367834,False,False,-0.002089864158829724,False,False,2025-08-11T11:03:03.086982+00:00
CYBER/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,36.02709722652728,0.1668647376610946,0.3822161849314404,58.12417724739563,47.99997312001526,1.0173445057562458,False,False,-0.002612330198537016,False,False,2025-08-11T11:03:03.340475+00:00
ALPINE/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,60.252829593817864,0.1307750491713177,0.6340120007794328,43.54450943278496,69.33326862228226,0.22259563111587014,False,True,0.0032210834553441092,False,False,2025-08-11T11:03:03.590247+00:00
HYPE/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,44.073583434956966,0.084609433013024,0.19781919383320476,61.118056242471,38.64541617117179,0.2896732847955853,False,False,-0.0011800441423920338,False,False,2025-08-11T11:03:03.848698+00:00
PROM/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,47.46092289888644,0.17533433091892672,0.8244536550630837,41.453131647999825,33.57663890457734,0.28494023904291654,False,False,-0.007039892725444252,False,False,2025-08-11T11:03:04.099774+00:00
STX/USDT:USDT,,,1m,False,True,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,48.998903839156824,0.15361461887732847,0.882278296106301,35.01450032327907,27.731059812198907,2.6489135276937756,False,False,-0.004677146940366472,False,False,2025-08-11T11:03:04.351794+00:00
SPK/USDT:USDT,,,1m,False,False,20.0,0.45,0.6,45.0,20,0.05,1.3,53,43,True,76.61986366471545,0.24719617013838063,1.0138944294757057,54.898948266214646,32.16751724108977,0.7421703759481231,False,False,-0.0019457055498934839,False,False,2025-08-11T11:03:04.602307+00:00
